"COL0","COL1"
"5350521.04",2870.00
"5350521.05",2130.00
"5350521.06",3535.00
"5350522.00",2085.00
"5350523.00",2170.00
"5350524.01",2210.00
"5350524.02",1250.00
"5350525.01",1745.00
"5350525.02",1815.00
"5350526.01",3365.00
"5350526.02",1755.00
"5350527.01",7550.00
"5350527.02",1555.00
"5350527.03",5300.00
"5350527.04",1460.00
"5350527.05",1875.00
"5350527.06",1510.00
"5350527.07",2180.00
"5350527.08",2500.00
"5350527.09",2210.00
"5350528.01",3735.00
"5350528.02",5990.00
"5350528.1",6560.00
"5350528.11",3940.00
"5350528.12",4435.00
"5350528.13",1805.00
"5350528.15",3470.00
"5350528.16",4300.00
"5350528.18",4815.00
"5350528.19",4170.00
"5350528.2",4285.00
"5350528.21",3520.00
"5350528.22",5700.00
"5350528.24",3865.00
"5350528.25",5535.00
"5350528.26",4005.00
"5350528.31",4890.00
"5350528.32",3040.00
"5350528.33",4185.00
"5350528.34",4000.00
"5350528.35",1880.00
"5350528.36",7805.00
"5350528.37",6765.00
"5350528.39",4350.00
"5350528.4",3920.00
"5350528.41",6500.00
"5350528.42",4840.00
"5350528.43",4055.00
"5350528.44",1040.00
"5350528.45",4245.00
"5350528.46",6050.00
"5350528.47",3875.00
"5350528.48",7275.00
"5350528.49",2955.00
"5350529.01",3285.00
"5350529.02",3670.00
"5350530.01",4190.00
"5350530.02",2505.00
"5350531.01",3345.00
"5350531.02",5455.00
"5350532.01",3660.00
"5350532.02",4010.00
"5350540.01",805.00
"5350540.02",1015.00
"5350550.01",1350.00
"5350550.02",2610.00
"5350560.00",3070.00
"5350561.00",3420.00
"5350562.02",3330.00
"5350562.03",2330.00
"5350562.04",2305.00
"5350562.05",3095.00
"5350562.06",1690.00
"5350562.07",2200.00
"5350562.08",1755.00
"5350562.09",1960.00
"5350562.11",1260.00
"5350562.12",5130.00
"5350562.13",795.00
"5350562.14",2330.00
"5350562.15",2640.00
"5350563.01",5625.00
"5350563.02",1475.00
"5350564.01",1025.00
"5350564.02",3395.00
"5350570.01",2005.00
"5350570.02",475.00
"5350571.01",2135.00
"5350571.02",850.00
"5350572.01",2460.00
"5350572.04",1815.00
"5350572.05",3945.00
"5350572.07",3475.00
"5350572.08",4770.00
"5350572.09",3345.00
"5350572.1",3025.00
"5350573.03",3230.00
"5350573.05",2315.00
"5350573.06",2745.00
"5350573.07",2630.00
"5350573.09",4440.00
"5350573.1",2370.00
"5350573.11",4175.00
"5350574.00",1895.00
"5350575.01",3120.00
"5350575.02",2130.00
"5350575.03",3970.00
"5350575.04",2670.00
"5350575.05",4210.00
"5350575.07",3590.00
"5350575.08",3695.00
"5350576.04",1305.00
"5350576.05",4595.00
"5350576.06",3940.00
"5350576.07",2650.00
"5350576.09",820.00
"5350576.1",10265.00
"5350576.16",5460.00
"5350576.17",5630.00
"5350576.2",6060.00
"5350576.22",6345.00
"5350576.24",7615.00
"5350576.29",2945.00
"5350576.31",1425.00
"5350576.32",6350.00
"5350576.33",760.00
"5350576.34",4410.00
"5350576.4",7485.00
"5350576.41",6915.00
"5350576.42",10385.00
"5350576.43",4865.00
"5350576.44",2000.00
"5350576.45",2430.00
"5350576.46",4805.00
"5350576.47",3645.00
"5350576.49",4975.00
"5350576.5",5760.00
"5350576.52",5095.00
"5350576.53",3625.00
"5350576.54",4365.00
"5350576.55",6220.00
"5350576.56",7330.00
"5350576.57",2625.00
"5350576.58",7830.00
"5350576.59",6340.00
"5350576.6",8040.00
"5350576.61",10150.00
"5350576.62",6655.00
"5350576.63",5905.00
"5350576.64",7885.00
"5350576.65",2145.00
"5350576.66",6140.00
"5350576.67",7695.00
"5350576.68",4145.00
"5350576.69",5655.00
"5350576.7",16300.00
"5350576.71",21045.00
"5350576.72",6920.00
"5350585.02",1245.00
"5350585.03",485.00
"5350585.05",590.00
"5350585.07",1055.00
"5350585.08",390.00
"5350585.09",295.00
"5350585.1",475.00
"5350586.01",6570.00
"5350586.02",230.00
"5350587.01",620.00
"5350587.02",455.00
"5350590.00",365.00
"5350591.01",370.00
"5350591.02",245.00
"5350592.01",720.00
"5350592.02",285.00
"5350593.00",700.00
"5350600.01",1225.00
"5350600.02",3180.00
"5350601.00",915.00
"5350602.00",640.00
"5350603.00",1515.00
"5350604.00",190.00
"5350605.00",295.00
"5350606.00",1245.00
"5350607.00",470.00
"5350608.00",595.00
"5350609.00",475.00
"5350610.02",2550.00
"5350610.03",535.00
"5350610.04",290.00
"5350611.00",660.00
"5350612.01",
"5350612.03",2095.00
"5350612.05",1335.00
"5350612.08",2315.00
"5350612.1",
"5350612.11",1570.00
"5350612.12",1890.00
"5350612.13",745.00
"5350612.14",1070.00
"5350612.15",2915.00
"5350612.18",1485.00
"5350612.19",1535.00
"5350612.2",1680.00
"5350612.21",2795.00
"5350612.22",3455.00
"5350612.23",1740.00
"5350612.24",3905.00
"5350612.25",2220.00
"5350612.26",1475.00
"5350612.27",1630.00
"5350613.01",875.00
"5350613.03",970.00
"5350613.04",1330.00
"5350614.01",570.00
"5350614.02",665.00
"5350615.00",4045.00
"5350620.01",4825.00
"5350620.05",2055.00
"5350620.06",3550.00
"5350620.07",2590.00
"5350620.08",4515.00
"5350620.09",2410.00
"5350620.1",6815.00
"5350620.11",6445.00
"5350620.12",10510.00
"5350620.13",245.00
"5350621.00",375.00
"5350622.00",610.00
"5350623.00",410.00
"5350624.00",555.00
"5350625.00",35.00
"5350626.00",690.00
"5350630.00",640.00
"5350631.02",470.00
"5350631.03",515.00
"5350631.04",540.00
"5350632.00",215.00
"5350633.00",220.00
"5350634.01",235.00
"5350634.02",205.00
"5350635.00",385.00
"5350636.00",190.00
"5350637.00",340.00
"5350638.00",225.00
"5350639.00",295.00
"5350800.01",1020.00
"5350800.02",725.00
"5350801.01",785.00
"5350801.02",1470.00
"5350802.01",1885.00
"5350802.02",2315.00
"5350803.03",2400.00
"5350803.04",3035.00
"5350803.05",3340.00
"5350803.06",2795.00
"5350804.01",2500.00
"5350804.05",2525.00
"5350804.06",1080.00
"5350804.07",2025.00
"5350804.08",1320.00
"5350804.1",1840.00
"5350804.11",3170.00
"5350804.12",5025.00
"5350804.13",3380.00
"5350805.04",2860.00
"5350805.06",3600.00
"5350805.09",3855.00
"5350805.1",3000.00
"5350805.12",6670.00
"5350805.14",7200.00
"5350805.15",8060.00
"5350805.16",6400.00
"5350805.17",4155.00
"5350805.18",1495.00
"5350805.19",945.00
"5350805.2",3215.00
"5350805.21",960.00
"5350806.00",390.00
"5350807.00",215.00
"5350810.01",1335.00
"5350810.02",285.00
"5350810.03",385.00
"5350810.04",1150.00
"5350810.05",595.00
"5350811.00",1395.00
"5350812.00",2950.00
"5350820.03",1950.00
"5350820.04",1870.00
"5350820.05",1345.00
"5350820.06",230.00
"5350820.07",1640.00
"5350830.00",475.00
"5350831.01",345.00
"5350831.02",255.00
"5350832.00",130.00
