"COL0","COL1"
"4620158.00",1190.00
"4620159.00",965.00
"4620160.00",1030.00
"4620161.00",995.00
"4620162.00",915.00
"4620163.00",1460.00
"4620164.00",740.00
"4620165.00",1095.00
"4620166.00",270.00
"4620167.00",1155.00
"4620168.00",1135.00
"4620169.00",970.00
"4620170.00",1045.00
"4620171.00",2650.00
"4620172.00",1555.00
"4620173.00",1140.00
"4620174.00",1220.00
"4620175.00",1055.00
"4620176.00",875.00
"4620177.00",745.00
"4620178.00",1325.00
"4620179.00",2175.00
"4620180.00",1900.00
"4620181.00",2445.00
"4620182.00",1125.00
"4620183.00",1230.00
"4620184.00",1540.00
"4620185.00",2755.00
"4620186.00",2445.00
"4620187.01",1705.00
"4620187.03",2550.00
"4620187.04",2405.00
"4620188.01",1150.00
"4620188.02",1405.00
"4620189.00",
"4620190.01",1810.00
"4620190.02",2275.00
"4620191.00",2875.00
"4620192.00",1175.00
"4620193.00",925.00
"4620194.00",3065.00
"4620195.01",1610.00
"4620195.02",2345.00
"4620195.03",2255.00
"4620196.00",2020.00
"4620197.00",2405.00
"4620198.00",2440.00
"4620199.00",1340.00
"4620200.00",2280.00
"4620201.00",3435.00
"4620202.00",2280.00
"4620203.00",1460.00
"4620204.00",1435.00
"4620205.00",1150.00
"4620206.00",1355.00
"4620207.00",1785.00
"4620208.00",1290.00
"4620209.00",3025.00
"4620210.00",2210.00
"4620211.00",1265.00
"4620212.00",1385.00
"4620213.00",1345.00
"4620214.00",1405.00
"4620215.00",1635.00
"4620216.00",1250.00
"4620217.00",1445.00
"4620218.00",1685.00
"4620219.00",1525.00
"4620220.00",2805.00
"4620221.00",2700.00
"4620222.00",1490.00
"4620223.01",1485.00
"4620223.02",1185.00
"4620224.00",2395.00
"4620225.00",640.00
"4620226.00",1595.00
"4620227.00",780.00
"4620228.00",795.00
"4620229.00",
"4620230.00",950.00
"4620231.00",875.00
"4620232.00",2060.00
"4620233.00",1165.00
"4620234.00",1245.00
"4620235.00",1035.00
"4620236.00",950.00
"4620237.00",1740.00
"4620238.00",1220.00
"4620239.00",2485.00
"4620240.00",1545.00
"4620241.00",1340.00
"4620242.00",3015.00
"4620243.00",1805.00
"4620244.00",1085.00
"4620245.00",1560.00
"4620247.00",1185.00
"4620249.00",2140.00
"4620250.00",1900.00
"4620251.01",1530.00
"4620251.02",1240.00
"4620252.00",2275.00
"4620253.00",1445.00
"4620254.00",1835.00
"4620256.00",1465.00
"4620257.00",1660.00
"4620258.00",1800.00
"4620259.00",2320.00
"4620260.00",835.00
"4620261.00",1070.00
"4620262.00",1720.00
"4620263.00",1715.00
"4620264.01",2330.00
"4620264.02",2590.00
"4620265.00",2210.00
"4620266.00",1685.00
"4620267.00",2665.00
"4620268.01",3140.00
"4620268.02",2150.00
"4620268.03",
"4620269.00",1925.00
"4620270.00",2405.00
"4620271.00",1610.00
"4620272.00",1840.00
"4620273.00",2195.00
"4620274.00",1360.00
"4620275.00",1995.00
"4620276.00",2525.00
"4620277.00",1935.00
"4620278.00",2100.00
"4620279.00",2500.00
"4620280.00",2085.00
"4620281.00",1460.00
"4620282.00",2740.00
"4620283.01",1355.00
"4620283.02",1205.00
"4620284.00",1560.00
"4620285.00",2260.00
"4620286.00",1965.00
"4620287.01",3055.00
"4620287.02",1740.00
"4620288.00",400.00
"4620290.01",1000.00
"4620290.02",2230.00
"4620290.03",1735.00
"4620290.04",2445.00
"4620290.05",2355.00
"4620290.06",1985.00
"4620290.07",1575.00
"4620290.08",1495.00
"4620290.09",1755.00
"4620291.01",1370.00
"4620291.03",1785.00
"4620291.04",1470.00
"4620300.00",1260.00
"4620301.00",2630.00
"4620302.00",1535.00
"4620303.00",1250.00
"4620304.00",1745.00
"4620305.00",2085.00
"4620306.00",1520.00
"4620307.00",1570.00
"4620308.00",1350.00
"4620309.00",625.00
"4620310.00",1605.00
"4620311.00",2020.00
"4620312.00",1620.00
"4620313.00",1520.00
"4620314.00",1160.00
"4620315.00",
"4620316.00",850.00
"4620317.02",3885.00
"4620317.03",2175.00
"4620317.04",3585.00
"4620320.00",2135.00
"4620321.00",1385.00
"4620322.02",1670.00
"4620322.03",2360.00
"4620322.04",1380.00
"4620323.00",1190.00
"4620324.01",2130.00
"4620324.02",1150.00
"4620325.01",1455.00
"4620325.02",2765.00
"4620325.03",1505.00
"4620325.05",3040.00
"4620325.06",1925.00
"4620326.01",1130.00
"4620326.02",1570.00
"4620326.03",1905.00
"4620327.00",2075.00
"4620328.00",795.00
"4620329.00",1700.00
"4620330.00",2370.00
"4620340.00",1850.00
"4620350.00",1120.00
"4620351.00",2715.00
"4620352.00",1355.00
"4620353.00",1165.00
"4620354.00",1000.00
"4620355.00",675.00
"4620356.00",650.00
"4620360.00",625.00
"4620361.00",670.00
"4620362.00",835.00
"4620363.00",2075.00
"4620364.00",960.00
"4620365.00",1265.00
"4620366.00",1020.00
"4620367.00",1720.00
"4620370.00",2470.00
"4620380.00",1805.00
"4620381.00",2470.00
"4620382.01",1450.00
"4620382.02",1475.00
"4620383.01",1050.00
"4620383.02",3845.00
"4620385.00",950.00
"4620390.00",615.00
"4620391.00",835.00
"4620392.00",740.00
"4620393.00",3195.00
"4620394.00",1870.00
"4620395.01",1090.00
"4620395.02",2805.00
"4620395.03",2345.00
"4620396.00",2540.00
"4620397.00",1520.00
"4620400.00",1980.00
"4620401.00",1220.00
"4620402.00",695.00
"4620403.00",1770.00
"4620404.00",1710.00
"4620410.01",2070.00
"4620410.02",2690.00
"4620410.03",625.00
"4620412.00",2715.00
"4620413.01",1380.00
"4620413.02",1450.00
"4620415.03",1910.00
"4620415.04",1980.00
"4620415.05",2835.00
"4620415.06",2930.00
"4620416.01",1415.00
"4620416.02",1075.00
"4620417.01",1780.00
"4620417.02",875.00
"4620418.00",2545.00
"4620419.00",1650.00
"4620420.00",1710.00
"4620421.01",2955.00
"4620421.02",2780.00
"4620430.00",3400.00
"4620431.00",2365.00
"4620432.00",1245.00
"4620433.00",1385.00
"4620440.00",
"4620450.00",3235.00
"4620451.00",2755.00
"4620452.00",2725.00
"4620453.01",1910.00
"4620453.02",1755.00
"4620460.00",1845.00
"4620461.00",1030.00
"4620462.01",1885.00
"4620462.02",1900.00
"4620470.01",2565.00
"4620470.03",1575.00
"4620470.04",1215.00
"4620470.05",1325.00
"4620480.00",1330.00
"4620490.00",1275.00
"4620491.00",685.00
"4620500.00",345.00
